Time,SPEI
2021 Jul,0.79
2021 Aug,0.23
2021 Sep,-0.59
2021 Oct,1.45
2021 Nov,-1.32
2021 Dec,0.03
2022 Jan,-0.85
2022 Feb,1.18
2022 Mar,0.91
2022 Apr,0.22
