Time,NAO,SPI
1996 Jan,1.7,0.31
1996 Feb,1.46,-1.17
1996 Mar,-1.02,-0.81
1996 Apr,-0.28,0.41
1996 May,-1.47,1.51
1996 Jun,0.34,0.12
1996 Jul,0.83,0.31
1996 Aug,0.61,-1
1996 Sep,-1.7,-0.19
1996 Oct,-0.9,-0.17
1996 Nov,-0.96,0.21
1996 Dec,0.39,-0.56
1997 Jan,-0.11,0.47
1997 Feb,0.87,1.57
1997 Mar,-0.68,-0.16
1997 Apr,-1.32,-0.99
1997 May,-2.72,0.01
1997 Jun,-0.48,-0.2
1997 Jul,-0.02,-0.87
1997 Aug,-2,0.78
1997 Sep,-0.29,-0.5
1997 Oct,-0.28,-0.51
1997 Nov,0.87,-0.07
1997 Dec,0.77,-0.24
1998 Jan,0.29,0.72
1998 Feb,0.23,0.63
1998 Mar,-0.95,0.97
1998 Apr,0.92,0.77
1998 May,1.12,0.39
1998 Jun,-0.9,1.45
1998 Jul,0.39,-0.13
1998 Aug,0.36,-0.1
1998 Sep,0.2,-0.62
1998 Oct,0.65,0.81
1998 Nov,1.61,-0.17
1998 Dec,0.6,-0.63
1999 Jan,1.7,1.35
1999 Feb,0.77,0.39
1999 Mar,-0.03,-1
1999 Apr,1.58,1.1
1999 May,-0.03,-0.21
1999 Jun,-1.03,0.64
1999 Jul,-0.29,-0.41
1999 Aug,-0.21,-0.35
1999 Sep,0.92,-0.65
1999 Oct,-0.92,-0.75
1999 Nov,-0.58,-1.74
1999 Dec,0.25,0.45
2000 Jan,0.45,-0.43
2000 Feb,-1.26,0.48
2000 Mar,0,-0.77
2000 Apr,-0.02,-0.38
2000 May,-0.2,0.14
2000 Jun,-0.25,1.38
2000 Jul,-0.07,0.32
2000 Aug,-0.65,-0.01
2000 Sep,-0.24,0.34
2000 Oct,0.63,-0.38
2000 Nov,-0.83,0.35
2000 Dec,0.44,-0.18
2001 Jan,1.1,-0.13
2001 Feb,0.69,1.19
2001 Mar,1.18,-1.36
2001 Apr,-0.22,-0.48
2001 May,0.38,0.06
2001 Jun,0.62,-0.06
2001 Jul,0.38,-0.01
2001 Aug,-0.7,0.4
2001 Sep,-2.28,0.04
2001 Oct,-0.18,1.52
2001 Nov,-0.94,-0.09
2001 Dec,0.16,0.05
